cluster,lat,lon,size,method
436,34.045778723404254,-118.26633404255315,47,hdbscan
515,34.047339130434786,-118.24731956521738,46,hdbscan
233,33.935515217391305,-118.2870673913043,46,hdbscan
384,34.026623913043494,-118.28063913043484,46,hdbscan
41,34.26397173913043,-118.40246304347828,46,hdbscan
312,33.97433478260869,-118.26527173913043,46,hdbscan
123,34.18589782608695,-118.40924999999997,46,hdbscan
457,34.06228888888889,-118.27439777777779,45,hdbscan
175,34.22694444444444,-118.45577777777777,45,hdbscan
376,34.01410444444445,-118.29391333333335,45,hdbscan
283,33.974008888888896,-118.29894444444446,45,hdbscan
366,34.026868181818195,-118.28974090909091,44,hdbscan
165,34.22762954545454,-118.47072272727274,44,hdbscan
442,34.06084545454545,-118.29290909090909,44,hdbscan
478,34.039449999999995,-118.2633727272727,44,hdbscan
11,34.321302272727266,-118.44194999999999,44,hdbscan
192,34.18499545454546,-118.44809545454545,44,hdbscan
231,34.06362272727272,-118.35882727272725,44,hdbscan
488,33.95857045454545,-118.28272727272726,44,hdbscan
317,33.95887954545455,-118.26346818181815,44,hdbscan
308,33.939434090909096,-118.25917727272726,44,hdbscan
61,34.166325,-118.58651136363636,44,hdbscan
32,34.136675000000004,-118.19088863636365,44,hdbscan
96,34.15719090909091,-118.39409318181816,44,hdbscan
395,34.007656818181815,-118.27790454545458,44,hdbscan
51,34.168074999999995,-118.50723863636364,44,hdbscan
512,34.04670000000001,-118.25200000000002,43,hdbscan
10,34.11947441860466,-118.31743023255812,43,hdbscan
423,34.00911395348837,-118.28238837209301,43,hdbscan
428,34.06116046511628,-118.24073720930235,43,hdbscan
204,34.029148837209306,-118.42713255813955,43,hdbscan
134,34.136758139534884,-118.3615558139535,43,hdbscan
75,33.99453023255814,-118.47986744186046,43,hdbscan
88,34.20263023255814,-118.37103488372092,43,hdbscan
72,34.176678571428575,-118.53927142857144,42,hdbscan
303,34.07973095238095,-118.28776904761905,42,hdbscan
25,33.9455,-118.40044761904764,42,hdbscan
26,34.2541,-118.57939285714285,42,hdbscan
367,34.03223809523809,-118.29164761904761,42,hdbscan
475,34.03401904761905,-118.25355476190474,42,hdbscan
349,34.1005619047619,-118.34165714285713,42,hdbscan
86,34.11316585365854,-118.27742926829268,41,hdbscan
511,34.04600731707317,-118.251,41,hdbscan
504,34.048802439024385,-118.24551463414635,41,hdbscan
281,33.9922268292683,-118.30966097560973,41,hdbscan
369,34.019187804878044,-118.29070243902437,41,hdbscan
280,33.989158536585364,-118.30923170731707,41,hdbscan
499,34.043912195121955,-118.25454634146342,41,hdbscan
146,34.226743902439026,-118.43643170731708,41,hdbscan
467,33.96120243902439,-118.29134390243902,41,hdbscan
207,34.034029268292684,-118.38265609756095,41,hdbscan
405,34.069,-118.29898048780488,41,hdbscan
380,34.03200975609756,-118.25032195121952,41,hdbscan
392,33.970319512195125,-118.27829999999999,41,hdbscan
54,33.99135121951219,-118.45938780487805,41,hdbscan
150,34.187485365853654,-118.42708292682927,41,hdbscan
184,34.16853658536586,-118.4472512195122,41,hdbscan
245,33.99378292682927,-118.3297804878049,41,hdbscan
466,34.06320487804878,-118.28090487804879,41,hdbscan
158,34.216814634146345,-118.46826585365855,41,hdbscan
474,33.998746341463416,-118.28271951219513,41,hdbscan
82,34.119195121951215,-118.24328536585365,41,hdbscan
190,34.0422375,-118.46646000000001,40,hdbscan
